train_acc,train_loss,val_acc,val_loss
0.009600000000000001,4.609349,0.0104,4.6072426
0.009326315789473684,4.6068563,0.0092,4.6065884
0.009747368421052631,4.6062207,0.0084,4.606326
0.009621052631578947,4.6059957,0.0076,4.6067405
0.009873684210526314,4.605887,0.0076,4.6068487
0.009136842105263157,4.6058545,0.008,4.6074386
0.009536842105263158,4.605796,0.007200000000000001,4.6064863
0.009600000000000001,4.6057415,0.0072,4.6065044
0.00936842105263158,4.6058245,0.0076,4.606772
0.009073684210526317,4.6057224,0.007600000000000001,4.6064925
0.009094736842105263,4.6057076,0.007200000000000001,4.606755
0.01,4.6056857,0.007200000000000001,4.6068745
0.01031578947368421,4.6056995,0.0072,4.606751
0.009557894736842105,4.6057596,0.0072,4.6070247
0.010400000000000001,4.6056027,0.0064,4.607134
0.010189473684210526,4.605699,0.0064,4.6069326
0.01,4.6056423,0.006400000000000001,4.6068554
0.009600000000000001,4.6056075,0.0064,4.6070333
0.009157894736842104,4.605732,0.008,4.6070313
0.010147368421052632,4.6056123,0.009600000000000001,4.607071
0.00936842105263158,4.6057196,0.0076,4.6069593
0.009536842105263158,4.6057053,0.008400000000000001,4.606939
0.009894736842105263,4.6055293,0.0084,4.606839
0.0092,4.605641,0.0076,4.607112
0.009705263157894738,4.6056094,0.008,4.606756
0.009578947368421051,4.6055913,0.0068,4.606961
0.008589473684210527,4.6056747,0.009200000000000002,4.6064153
0.009305263157894737,4.6055655,0.0092,4.6067166
0.009557894736842105,4.6056175,0.0072,4.606862
0.009326315789473684,4.6056643,0.0072,4.606761
0.009347368421052632,4.6055894,0.012,4.6070695
0.010105263157894737,4.6056423,0.012000000000000002,4.606688
0.009600000000000001,4.6055627,0.0072,4.606724
0.009684210526315788,4.6055727,0.007200000000000001,4.6067863
0.010147368421052632,4.6056128,0.0072,4.607172
0.00976842105263158,4.605509,0.007200000000000001,4.6072035
0.00911578947368421,4.6055665,0.0072,4.607234
0.008694736842105264,4.6055803,0.0072,4.607325
0.009431578947368423,4.605548,0.0072,4.6072416
0.00983157894736842,4.6055894,0.0072,4.6072283
0.009368421052631578,4.605606,0.0072,4.6072154
0.009368421052631578,4.605599,0.008,4.6071353
0.009326315789473684,4.605613,0.008,4.607108
0.009747368421052633,4.6054974,0.0076,4.6073384
0.009368421052631578,4.605546,0.008,4.6071663
0.009957894736842107,4.605513,0.006400000000000001,4.6069355
0.009957894736842107,4.6054997,0.0064,4.606996
0.009557894736842104,4.6055694,0.0064,4.6068416
0.009410526315789473,4.605491,0.008,4.607097
0.008652631578947368,4.6055174,0.009600000000000001,4.6068554
0.008715789473684211,4.6055336,0.008400000000000001,4.606811
0.010442105263157893,4.6054597,0.008,4.6068926
0.009684210526315788,4.605512,0.0064,4.6067715
0.009600000000000001,4.605523,0.01,4.6066136
0.008778947368421053,4.6054707,0.009600000000000001,4.6066003
0.008905263157894737,4.605542,0.008,4.6063766
0.010126315789473685,4.605515,0.0064,4.6069164
0.009705263157894738,4.60545,0.0096,4.607176
0.009663157894736844,4.605515,0.0076,4.6074214
0.010126315789473685,4.6054525,0.0076,4.607462
0.009557894736842105,4.6054635,0.0088,4.6072326
0.010105263157894739,4.605499,0.007200000000000001,4.6070848
0.009915789473684211,4.6054726,0.0072,4.607115
0.009663157894736842,4.6055036,0.007200000000000001,4.607005
0.00928421052631579,4.6054626,0.0072,4.6070523
0.009663157894736842,4.6054583,0.0076,4.6069856
0.009431578947368423,4.605503,0.0076,4.6070223
0.009410526315789475,4.605466,0.0084,4.607055
0.009242105263157894,4.605504,0.0076,4.606986
0.009642105263157895,4.605492,0.006400000000000001,4.6070156
0.010126315789473685,4.6054606,0.0084,4.6072755
0.009915789473684211,4.6055765,0.0072,4.6070347
0.009915789473684211,4.605445,0.0064,4.607143
0.010042105263157896,4.6054263,0.0076,4.60717
0.009642105263157895,4.605463,0.0088,4.6072087
0.009263157894736843,4.6054306,0.0076,4.6072493
0.009810526315789474,4.6054583,0.0076,4.6072025
0.009726315789473684,4.6054473,0.008400000000000001,4.6071033
0.009810526315789474,4.6054196,0.008,4.6069517
0.009347368421052632,4.605463,0.008,4.6070347
0.010105263157894739,4.605475,0.008,4.6071396
0.01,4.6054206,0.007200000000000001,4.607045
0.009389473684210527,4.605473,0.0072,4.606811
0.009431578947368423,4.6054,0.0072,4.6066933
0.00976842105263158,4.605457,0.0104,4.6069226
0.009705263157894736,4.6054688,0.0104,4.606846
0.008989473684210525,4.605404,0.009600000000000001,4.606959
0.00928421052631579,4.6054688,0.0076,4.606976
0.00934736842105263,4.6054254,0.0092,4.607042
0.009578947368421055,4.6054378,0.0068000000000000005,4.607114
0.009452631578947369,4.6054535,0.008400000000000001,4.606965
0.009957894736842107,4.605423,0.009600000000000001,4.606985
0.010147368421052632,4.6054535,0.007200000000000001,4.6069474
0.010189473684210526,4.6054378,0.0072,4.606703
0.009663157894736844,4.6053953,0.0064,4.6065474
0.010105263157894739,4.605482,0.006400000000000001,4.6067324
0.009052631578947368,4.6054463,0.006400000000000001,4.60694
0.009663157894736844,4.605445,0.008,4.6069174
0.009726315789473684,4.6054688,0.008400000000000001,4.6064043
0.009852631578947368,4.6054864,0.0064,4.60724
